paper,Year,hardware,feedback,both
ahmad2017sitting,2017,1,,
ahmad2021proposal,2021,1,,
ahn2015development,2015,1,,
alattas2014detecting,2014,,,1
anwary2019real,2019,,,1
anwary2020monitoring,2020,,,1
ardito2021lowcost,2021,1,,
arrogi2019validation,2019,1,,
arshad2022intelligent,2022,1,,
azrin1968behavioral,1968,,,1
bagalkot2019reride,2019,,,1
bailly2016livingdesktop,2016,,,1
bao2013sitting,2013,1,,
baptista2017flexible,2017,,,1
barba2015development,2015,1,,
barone2019sensory,2019,,,1
bei2017sitting,2017,1,,
benocci2011contextaware,2011,1,,
bibbo2018nonintrusive,2018,1,,
bibbo2019sitting,2019,1,,
bibbo2020influence,2020,1,,
bootsman2019wearable,2019,,,1
bourahmoune2019aipowered,2019,,,1
bourahmoune2022intelligent,2022,1,,
braun2015capacitive,2015,1,,
breen2009evaluation,2009,,,1
cai2021improved,2021,1,,
chen2019sitting,2019,1,,
cheng2013smart,2013,1,,
chin2019posture,2019,,,1
cho2019sitting,2019,,,1
choi2015estimation,2015,1,,
cun2021sitting,2021,1,,
daian2007sensitive,2007,,,1
demmans2007posture,2007,,,1
dib2007effects,2007,,,1
ding2019realtime,2019,1,,
duffy2013measuring,2013,,,1
dunne2006design,2006,1,,
dunne2008wearable,2008,1,,
el-sayed2011novel,2011,,,1
epstein2012effects,2012,,,1
estrada2016realtime,2016,1,,
estrada2017sitting,2017,1,,
fan2022deep,2022,1,,
feng2019are,2019,1,,
feng2020sitr,2020,1,,
ferreira2014breakout,2014,,,1
ferro2009sensing,2009,1,,
flutur2019smart,2019,,,1
fradet2011use,2011,1,,
fragkiadakis2019design,2019,1,,
fujita2021tiltchair,2021,,,1
gaffney2015evaluation,2015,,,1
gelaw2022posture,2022,1,,
goldstein2020realtime,2020,1,,
goossens2012office,2012,,,1
guanqingliang2017smart,2017,1,,
gupta2020posture,2020,1,,
gupta2021detection,2021,1,,
haller2011finding,2011,,,1
hayashi2017harmless,2017,1,,
ho2016improving,2016,1,,
hong2015better,2015,,,1
hong2015beupo,2015,,,1
hongztan1997chair,1997,1,,
hu2010providing,2010,1,,
hu2020smart,2020,1,,
huang2012sitting,2012,1,,
huang2017smart,2017,1,,
ishac2017smart,2017,,,1
ishac2018lifechair,2018,,,1
ishaku2019flexible,2019,1,,
ishimatsu2014bitaika,2014,,,1
ishimatsu2015finding,2015,,,1
jaebonglee2014preventfhp,2014,,,1
jaffery2022fsrbased,2022,1,,
jaimes2005sit,2005,,,1
jaimes2006posture,2006,1,,
jeong2021developing,2021,1,,
jiang2022knitted,2022,1,,
johnson2010buzz,2010,,,1
kappattanavar2020position,2020,1,,
katayama2022you,2022,1,,
kazuhirokamiya2008sitting,2008,1,,
khurana2014neckgraffe,2014,,1,
kim2016feedback,2016,,,1
kim2018classification,2018,1,,
kim2019designing,2019,1,,
kiran2021automatic,2021,,,1
kulikajevas2021detection,2021,1,,
kulon2013rulebased,2013,1,,
kumar2016carechair,2016,1,,
kumar2021design,2021,,,1
kuo2019immediate,2019,,,1
kuo2021sitting,2021,,,1
lamberti2022smart,2022,,,1
lanmu2010sitting,2010,,,1
lee2020human,2020,,,1
lee2021assistive,2021,,,1
li2006smart,2006,1,,
li2020design,2020,,,1
li2021sitsen,2021,1,,
liao2016design,2016,,,1
liao2017collaborative,2017,,,1
licciardo2021resource,2021,1,,
lim2018wearable,2018,1,,
liu2016healthy,2016,1,,
liu2019sitting,2019,1,,
liu2021development,2021,,,1
luna-perejon2021iot,2021,,,1
ma2016sitting,2016,1,,
ma2017posture,2017,1,,
ma2020smart,2020,1,,
mallare2017sitting,2017,1,,
martinaitis2018low,2018,1,,
martins2014intelligent,2014,,,1
martins2015realtime,2015,1,,
martins2016optimization,2016,1,,
matuska2020smart,2020,,,1
meyer2010design,2010,1,,
min2015pretty,2015,,,1
min2018scene,2018,1,,
mizumoto2020design,2020,1,,
moon2013comparison,2013,,,1
moshnyaga2019design,2019,,,1
murata2016graphical,2016,,,1
mutlu2007robust,2007,1,,
ng1995evaluation,1995,,,1
niijima2021posture,2021,,,1
nishida2017standouter,2017,,,1
nizam2020android,2020,,,1
obrien1970behavioral,1970,,,1
ochoa2018poor,2018,,,1
otoda2018census,2018,1,,
ozgul2022wearable,2022,,,1
paliyawan2014prolonged,2014,,,1
park2012effect,2012,,,1
park2016design,2016,,,1
partlow20213d,2021,1,,
pereira2015system,2015,,,1
perez2021sitting,2021,1,,
petropoulos2017spomo,2017,,,1
petropoulos2020wearable,2020,,,1
prueksanusak2019ergonomic,2019,,,1
qian2018inverse,2018,1,,
ramalingam2021alarming,2021,,,1
ran2021portable,2021,,,1
ren2019healthsit,2019,1,,
ren2019lightsit,2019,1,,
ribeiro2014effectiveness,2014,,,1
ribeiro2015optimization,2015,,,1
ribeiro2020spine,2020,1,,
roh2018sitting,2018,1,,
roh2019estimation,2019,1,,
roossien2017can,2017,,,1
rosero-montalvo2019intelligent,2019,1,,
rosero-montalvo2019intelligenta,2019,1,,
rus2019etextile,2019,1,,
russell2017posture,2017,1,,
russell2018posture,2018,1,,
samiei-zonouz2014smartphonecentric,2014,1,,
sandybekov2019posture,2019,1,,
schrempf2011posturecare,2011,1,,
schwartz2013recognizing,2013,1,,
shen2021seatplus,2021,,,1
shin2016beupright,2016,,,1
shin2018actuating,2018,,,1
shin2019slow,2019,,,1
shin2020body,2020,,,1
sigurdsson2008using,2008,,,1
sigurdsson2011generalization,2011,,,1
sinha2021smartphonebased,2021,1,,
skach2018smart,2018,1,,
slivovsky2000realtime,2000,1,,
soenandi2019real,2019,,,1
soltaninejad2018sitlight,2018,,,1
song-lin2010human,2010,1,,
speir2015posturechair,2015,,,1
sun2019sitting,2019,1,,
sun2021kinectbased,2021,,,1
suzuki2016sitting,2016,1,,
taieb-maimon2012effectiveness,2012,,,1
takeda2019posture,2019,1,,
tan1999sensing,1999,1,,
tan2001sensing,2001,1,,
tang2021upper,2021,1,,
tavares2022instrumented,2022,,,1
taylor2013posture,2013,,,1
tessendorf2009unsupervised,2009,1,,
tlili2022design,2022,,,1
tlili2022machine,2022,1,,
vanalmkerk2015improving,2015,,,1
vanderdoelen2011tactile,2011,,,1
vergara2000system,2000,1,,
verma2021fpga,2021,1,,
wan2021hip,2021,1,,
wang2013virtualspine,2013,,,1
wang2015smart,2015,,,1
wang2017preliminary,2017,1,,
wang2018virtualspine,2018,,,1
wang2019pointofchoice,2019,1,,
wang2021sitting,2021,1,,
wolfel2017acceptance,2017,,,1
wong2008detecting,2008,,,1
wong2008smart,2008,1,,
wu2018activeergo,2018,,,1
wu2019development,2019,,,1
wu2021posex,2021,1,,
wu2022recognition,2022,1,,
xu2011ecushion,2011,1,,
xu2012sensing,2012,1,,
xu2013ecushion,2013,,,1
yao2017new,2017,1,,
yingzheng2010vibrotactile,2010,,,1
yoo2006effects,2006,,,1
yu2013evaluation,2013,,,1
yuan2021smart,2021,1,,
zemp2016application,2016,1,,
zheng2010cognitive,2010,,,1
zheng2013comparison,2013,,,1
zhu2003templatebased,2003,1,,
zhu2019smart,2019,1,,
